web-scraper-order,web-scraper-start-url,link,link-href,load more,load more-href,name,location,salary,skills
"1571593152-830","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","5 days ago
Senior Data Scientist

ITAC Solutions, LLC
Birmingham
Full Time


We are looking for a data scientist that will help us discover the information hidden in vast amounts of data and help us make smarter decisions to deliver even better products. Your primary focus ...



Easy Apply","https://www.careerbuilder.com/job/J3M58G72MPCD8S4WKF5?ipath=CRJR9","","","Senior Data Scientist","Birmingham","$68K","Big Data"
"1571593167-870","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","Today
Data Scientist

Apex Systems
Rockville
Contractor


OVERVIEW : Apex Systems has an immediate need for a mid to senior level Data Scientist to support the expansion of ML/AI experimentation. The position is on a long-term contract basis with competit...



Easy Apply","https://www.careerbuilder.com/job/J3T2917814NJL65P0ST?ipath=CRJR2","","","Data Scientist","Rockville","$110K","Amazon Web Services"
"1571593138-796","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","2 days ago
Senior Data Scientist

TEKsystems, Inc
Lansing
Full Time


The main focus for this role is developing/monitoring models used in multivariate analysis, linear modeling and data mining. This would include developing and testing predictive risk models; intera...



Easy Apply","https://www.careerbuilder.com/job/J3N1D877DRQB6QHDM4H?ipath=CRJR15","","","Senior Data Scientist","Lansing","$160K","Testing"
"1571593156-843","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","3 days ago
Data Scientist

Robert Half Technology
McLean
Full Time


As a senior data scientist, you will help business units effectively use data to make better decisions. You will apply your knowledge of various statistical and machine-learning techniques to lead ...
$130,000 - $150,000 / year


Easy Apply","https://www.careerbuilder.com/job/J3R2C276FL2M3FD3Y36?ipath=CRJR7","","","Data Scientist","McLean","$140K","Machine Learning"
"1571593141-797","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","11 days ago
Data Scientist - Allen, TX - 7 Years Experience

HumCap Recruiting
Allen
Full Time


Our client, a growing tech firm, is seeking a Senior Data Scientist to join their growing team. The ideal candidate will be highly involved with running analytical experiments in a methodical manne...
$170,000 - $190,000 / year


Easy Apply","https://www.careerbuilder.com/job/JD97YW79GCZTDPL5VS0?ipath=CRJR14","","","Data Scientist - Allen, TX - 7 Years Experience","Allen","null","Java (Programming Language)"
"1571593107-705","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","19 days ago
Data Scientist - AWS Big Data - Chicago, IL - 130,000+

Jefferson Frank
Chicago
Full Time


Jefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best AWS professionals on the planet. Backed by private equity fir...
$130,000 - $160,000 / year


Easy Apply","https://www.careerbuilder.com/job/J3S0RF71D43FDJLTJN8?ipath=CRJR30","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Data Scientist - AWS Big Data - Chicago, IL - 130,000+","Chicago","$150K","Amazon S3"
"1571593095-675","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","9 days ago
Data Scientist / UBA Developer

Kforce Technology
Madison
Full Time


Kforce has a client seeking a Data Scientist/UBA Developer to join the product team Madison, Wisconsin (WI).
Summary:
This employee will work with work across multiple departments to develop an...



Easy Apply","https://www.careerbuilder.com/job/J3V5MD72PPVVCVV1CC0?ipath=CRJR35","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Data Scientist / UBA Developer","Madison","$150K","Information Security"
"1571593138-791","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","2 days ago
Senior Data Scientist

TEKsystems, Inc
Lansing
Full Time


The main focus for this role is developing/monitoring models used in multivariate analysis, linear modeling and data mining. This would include developing and testing predictive risk models; intera...



Easy Apply","https://www.careerbuilder.com/job/J3N1D877DRQB6QHDM4H?ipath=CRJR15","","","Senior Data Scientist","Lansing","$160K","Predictive Modelling"
"1571593126-755","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","I


3 days ago
Data Scientist

Irvine Technology Corporation
Houston
Full Time


IMMEDIATE NEED for a Data Scientist to join an excellent company at their Houston TX location regarding a Direct Hire role. The ideal candidate would help execute visionary web based projects to cr...



Easy Apply","https://www.careerbuilder.com/job/J3P4MR5XLWHRSLCQMLS?ipath=CRJR21","","","Data Scientist","Houston","$100K","Probability Theories"
"1571593126-756","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","I


3 days ago
Data Scientist

Irvine Technology Corporation
Houston
Full Time


IMMEDIATE NEED for a Data Scientist to join an excellent company at their Houston TX location regarding a Direct Hire role. The ideal candidate would help execute visionary web based projects to cr...



Easy Apply","https://www.careerbuilder.com/job/J3P4MR5XLWHRSLCQMLS?ipath=CRJR21","","","Data Scientist","Houston","$100K","Deep Learning"
"1571593152-831","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","5 days ago
Senior Data Scientist

ITAC Solutions, LLC
Birmingham
Full Time


We are looking for a data scientist that will help us discover the information hidden in vast amounts of data and help us make smarter decisions to deliver even better products. Your primary focus ...



Easy Apply","https://www.careerbuilder.com/job/J3M58G72MPCD8S4WKF5?ipath=CRJR9","","","Senior Data Scientist","Birmingham","$68K","Analysis"
"1571593101-690","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","I


11 days ago
MARKET DATA SCIENTIST

Integrated Resources, Inc
St. Louis
Contractor


The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must...



Easy Apply","https://www.careerbuilder.com/job/J3P7Z3768RSL38YVHHB?ipath=CRJR32","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","MARKET DATA SCIENTIST","St. Louis","$96K","Random Forest"
"1571593124-753","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","14 days ago
Data Scientist

Genesis10
Charlotte
Contractor


The Data Scientist is responsible for being a part of the execution team of advanced analytics techniques with the objective of creating casual inferences, predictions and recommendations for the t...



Easy Apply","https://www.careerbuilder.com/job/J3R7G66442THXDGQ1CD?ipath=CRJR22","","","Data Scientist","Charlotte","$120K","Deep Learning"
"1571593116-729","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","5 days ago
Digital Data Scientist

Apex Systems
Cincinnati
Full Time


Apex Systems is seeking a Digital Data Scientist to work with one of our clients in the Greater Cincinnati area. Job requirements are below: Position Summary: Lead the design, development, ...



Easy Apply","https://www.careerbuilder.com/job/J3T2S278712H4801QS6?ipath=CRJR26","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Digital Data Scientist","Cincinnati","$64K","Software Development Life Cycle"
"1571593128-766","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","2 days ago
Data Scientist

TEKsystems, Inc
Rockville
Full Time


1) Experience as a Developer, Data Analyst or Data Scientist. Any years of experience will be considered. 2) Strong experience around data development and/or big data solutions. Preferably with Sca...



Easy Apply","https://www.careerbuilder.com/job/J3N7SB6PVP4RSDDGPQD?ipath=CRJR20","","","Data Scientist","Rockville","$110K","Big Data"
"1571593068-602","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","S


24 days ago
Data Scientist

Sears
Hoffman Estates
Full Time


The Data Scientist is responsible for developing, maintaining and enhancing statistical models and algorithms to create strategic business opportunities across the organization relative to Marketin...



Easy Apply","https://www.careerbuilder.com/job/J3N26373NWV5WM77KWY?ipath=CRJR48","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Data Scientist","Hoffman Estates","$100K","Business Process"
"1571593169-875","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","8 days ago
Data Scientist (Mid to Senior)

Visionaire Partners
Atlanta
Full Time


As the Data Scientist, you will work on various data science projects across the company portfolio supporting multiple brands. This role will facilitate the end-to-end development, testing, and mon...



Easy Apply","https://www.careerbuilder.com/job/J2N67F6LHN9YJWRFY31?ipath=CRJR1","","","Data Scientist (Mid to Senior)","Atlanta","$90K","Data Science"
"1571593128-763","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","2 days ago
Data Scientist

TEKsystems, Inc
Rockville
Full Time


1) Experience as a Developer, Data Analyst or Data Scientist. Any years of experience will be considered. 2) Strong experience around data development and/or big data solutions. Preferably with Sca...



Easy Apply","https://www.careerbuilder.com/job/J3N7SB6PVP4RSDDGPQD?ipath=CRJR20","","","Data Scientist","Rockville","$110K","Map Reduce"
"1571593167-872","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","Today
Data Scientist

Apex Systems
Rockville
Contractor


OVERVIEW : Apex Systems has an immediate need for a mid to senior level Data Scientist to support the expansion of ML/AI experimentation. The position is on a long-term contract basis with competit...



Easy Apply","https://www.careerbuilder.com/job/J3T2917814NJL65P0ST?ipath=CRJR2","","","Data Scientist","Rockville","$110K","Presentations"
"1571593138-795","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","2 days ago
Senior Data Scientist

TEKsystems, Inc
Lansing
Full Time


The main focus for this role is developing/monitoring models used in multivariate analysis, linear modeling and data mining. This would include developing and testing predictive risk models; intera...



Easy Apply","https://www.careerbuilder.com/job/J3N1D877DRQB6QHDM4H?ipath=CRJR15","","","Senior Data Scientist","Lansing","$160K","Mathematics"
"1571593132-776","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","4 days ago
Data Scientist

CoStar Group
Atlanta
Full Time


As a Data Scientist on our analytics and data science team, you will leverage your deep experience in data analysis and data mining to drive significant traffic and user engagement growth for the A...","https://www.careerbuilder.com/job/J3R1YT6GZT4MGTF41XC?ipath=CRJR18","","","Data Scientist","Atlanta","$110K","Collaborative Filtering"
"1571593122-748","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","1 day ago
Data Scientist

A-Line Staffing Solutions
Boston
Full Time


You will leverage your technical knowledge and experience to help design data ingestion and data preparation patterns which are reusable within and across teams
Daily you will be working a variet...
$75 - $103 / hour


Easy Apply","https://www.careerbuilder.com/job/J2V08V733GL7R49QSRZ?ipath=CRJR23","","","Data Scientist","Boston","$89","Agile Software Development"
"1571593068-599","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","S


24 days ago
Data Scientist

Sears
Hoffman Estates
Full Time


The Data Scientist is responsible for developing, maintaining and enhancing statistical models and algorithms to create strategic business opportunities across the organization relative to Marketin...



Easy Apply","https://www.careerbuilder.com/job/J3N26373NWV5WM77KWY?ipath=CRJR48","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Data Scientist","Hoffman Estates","$100K","Data Mining"
"1571593114-721","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","6 days ago
Data Scientist, Principal

XPO Logistics, Inc.
Ann Arbor
Full Time


At XPO Logistics, we invest hundreds of millions in technology every year so that we can continue to develop state-of-the-art solutions for our customers. Are you looking for an opportunity to take...","https://www.careerbuilder.com/job/J3S82Y6TQF9S1WKJS66?ipath=CRJR27","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Data Scientist, Principal","Ann Arbor","$110K","Pandas"
"1571593164-863","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","2 days ago
Data Scientist - Orlando, FL

Jefferson Frank
Miami
Full Time


Exciting Data Scientist opportunity for those who like a challenge! Are you a Data Scientist looking to take the next step in a succesful career? This could be your chance! Location: Orlando, FL Re...



Easy Apply","https://www.careerbuilder.com/job/J3M35G6CYYKR7D4HFLK?ipath=CRJR3","","","Data Scientist - Orlando, FL","Miami","null","Python (Programming Language)"
"1571593134-779","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","2 days ago
Data Scientist - Cyber Incident Analysis (TS/SCI with Polygraph)

LMI
McLean
Full Time


The position will require the application and creation of advanced methodologies to continuously discover unique cyber threat indicators to help protect our customers from the most sophisticated, a...","https://www.careerbuilder.com/job/J3V56C6PWMQ9DGJ30L9?ipath=CRJR17","","","Data Scientist - Cyber Incident Analysis (TS/SCI with Polygraph)","McLean","$130K","Data Science"
"1571593130-770","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","5 days ago
Sr. Data Scientist

Jefferson Frank
Tysons
Full Time


My client in Tysons, VA are currently searching for a Sr. Data Scientist to speak with clients as well as do some in-house projects within Machine Learning and Deep Learning. Work with a team of da...



Easy Apply","https://www.careerbuilder.com/job/J3Q12K70T0HZP2VC952?ipath=CRJR19","","","Sr. Data Scientist","Tysons","$120K","Security Clearance"
